date,alpha,beta_industry,beta_stock,beta_factor,r2,n
2018-02-28,,-0.14972373424158758,0.011569867503842557,0.1994688343864768,0.03290938263423138,471
2018-03-31,,-0.08885578625245838,-0.0001773288744714458,0.14263844944487858,0.015932519234015396,472
2018-04-30,,0.14011437089472362,0.0631465728214515,-0.02422562470342504,0.07787569840531694,472
2018-05-31,,-0.1572946492855063,-0.033806873317370825,0.35484181046133156,0.07802117524415952,472
2018-06-30,,0.027789606813870073,-0.032060982770699596,0.29517847647660733,0.030583279441993794,473
2018-07-31,,0.09246721083113257,0.01959893694666667,0.10936609582492665,0.026048297005947352,473
2018-08-31,,0.009457628653014265,0.0025980910823938217,-0.0030405926937935837,0.0006136706992415641,473
2018-09-30,,-0.3942454906821421,-0.021819567949917084,0.050287417441498436,0.19858907387128422,473
2018-10-31,,0.030927241045753468,-0.04188404084865802,0.1636690724621724,0.029882023367265975,473
2018-11-30,,-0.06476445730766159,0.01817341600371179,-0.5942958793609827,0.02311044776785165,473
2018-12-31,,0.054662742825443526,-0.010689112034521352,5.015601468707544,0.002773522639064274,473
2019-01-31,,0.07698676801957431,0.02385879791967561,1.1639553626900678,0.015401492137803507,473
2019-02-28,,0.10353294213168322,0.03294824261788742,-0.23858340915862375,0.034769752704615575,474
2019-03-31,,-0.28426064891795455,-0.05377804504389497,2.515247055484821,0.12996289080906187,474
2019-04-30,,0.16397658468464762,0.14861417368982432,-1.0470935596992494,0.15285759202910354,474
2019-05-31,,-0.08153959703394086,-0.05389220327644857,1.0829040083611767,0.043067078078755094,474
2019-06-30,,0.11701830156439627,0.010417945899841876,-0.012760906281318676,0.019581551285797638,474
2019-07-31,,0.3621773472787026,0.12598072087355142,-1.9011155409693388,0.2225144519967306,474
2019-08-31,,-0.12769228278641132,-0.13188052870956882,0.7124002917920153,0.2823479084532243,474
2019-09-30,,0.03492035087618127,-0.040606472020565026,0.36161343548986663,0.03224748959928758,474
2019-10-31,,-0.05047467520745343,-0.01743779825149338,3.3213208272055503,0.011457489559166811,474
2019-11-30,,-0.11557922353047956,-0.017006547565784173,0.45337461510939964,0.04262815406985232,474
2019-12-31,,0.3050738916526106,0.07617231875976153,-0.5212248481343894,0.13181409484834672,474
2020-01-31,,0.10650261855817005,0.06430913868397817,-0.45994092209008597,0.08543172621688433,474
2020-02-29,,0.43071563844719646,0.017555640753351344,-1.446634110175215,0.06000535684332198,474
2020-03-31,,-0.8201258579660137,0.01920396827662942,2.2355417280282888,0.20353688667215153,474
2020-04-30,,0.06333558187507939,0.056412444666409677,2.913145393117592,0.04613715896924786,474
2020-05-31,,-0.047169834291329996,-0.025864168919657777,-0.03984272897704016,0.013843307962483231,474
2020-06-30,,0.12374771878953494,0.08511242207234494,-4.2383992621081905,0.12797952437770632,474
2020-07-31,,0.023254395996316533,0.02164390780548363,-1.9798515667992935,0.006578247189213293,474
2020-08-31,,0.11874656481677083,-0.005059585708315202,0.7638229192590975,0.06479116663063011,474
2020-09-30,,-0.015461513274539158,-0.012504572781456075,-0.13948912375293077,0.00453124036364394,474
2020-10-31,,-0.06636200746678278,-0.02662003730585765,2.709218620595045,0.02307040684982964,474
2020-11-30,,0.010077876746410584,0.008969718044734927,3.2567303747238707,0.004621871445977477,474
2020-12-31,,-0.06053299616581542,0.023175622823883857,0.2813221360709015,0.032211157224479425,474
2021-01-31,,-0.11793069404805762,-0.07139912954687955,1.1522280283752229,0.09395535929975352,474
2021-02-28,,-0.05542713209173935,-0.037626088760715666,0.5476047306840356,0.05838373517161899,474
2021-03-31,,-0.03145066181577253,-0.005530023734226049,0.2514165239026459,0.007903891059911516,474
2021-04-30,,0.03235383515400246,0.0041606135732322625,-0.006459792117913071,0.030740477592387738,474
2021-05-31,,-0.026284157786296048,0.004408204687810658,0.04458357907393412,0.006656556983580475,474
2021-06-30,,-0.05833026667599305,-0.0182054908739629,0.11544560192293148,0.03338282064851472,474
2021-07-31,,0.008741554180143822,0.01826840778254725,0.047249964873780026,0.013862207765721446,474
2021-08-31,,0.10469219207042318,0.016104507398905333,-0.22961916158305345,0.08069160336148695,474
2021-09-30,,0.1327418837664271,0.0335546837979925,0.020258375494857477,0.06257720319627091,474
2021-10-31,,-0.028469101596992046,0.004832683709309884,-0.022556904128125742,0.004832817659642941,474
2021-11-30,,-0.06924686666602609,-0.019594485347946416,0.28774675808537326,0.06749416664679753,474
2021-12-31,,0.17540737449603452,-0.07816791050702365,-0.3984191704484791,0.14273187080537297,474
2022-01-31,,0.062485239166078656,0.016142545242213088,-0.15934665518037827,0.010306730456242419,474
2022-02-28,,0.15281061733152773,0.020232936014070863,-0.07762811644243034,0.03558306859555682,474
2022-03-31,,0.19461123940838745,0.006539680312817049,-0.8904086751285677,0.04541410620163877,474
2022-04-30,,0.2566721002762993,-0.01459575520659367,-0.43276092401134864,0.11883187857154243,474
2022-05-31,,-0.09737612017878157,0.02441201048074746,-2.087445953603656,0.04286243051313943,474
2022-06-30,,-0.054662332025864166,-0.024356904102826663,-1.9480962773880883,0.012840693684194493,474
2022-07-31,,0.10498218270017057,0.05979151354582723,0.5970758974316128,0.12122091823709658,474
2022-08-31,,-0.004065631325880443,0.06191288618282449,0.6620376142107761,0.0418034940048555,474
2022-09-30,,0.12402468192089829,0.004723214327527484,-1.158100947897472,0.049946422639027155,474
2022-10-31,,-0.059341582717509216,-0.05289178185765077,-0.9117281864030483,0.04229958372234799,474
2022-11-30,,0.08594256380388851,-0.0011866948608800307,0.17644882882497986,0.04041373279291194,474
2022-12-31,,-0.16190310605596409,-0.14327348725318295,-0.626891854922516,0.24082978177488423,474
2023-01-31,,-0.031111163128850785,0.03189332709930552,0.3004052129813653,0.024173277146985583,474
2023-02-28,,-0.01662093741995836,0.020553244550123098,-0.033458368336776505,0.0040525173186972685,474
2023-03-31,,0.024351596146655434,-0.009640366763864159,-0.2932717662993919,0.002176078962629835,474
2023-04-30,,-0.15065299409749924,0.0806171891056338,0.4388343304337526,0.040235145132500816,474
2023-05-31,,0.19548262112897757,-0.04251969887732378,78.87800378885018,0.05637305558260386,474
2023-06-30,,-0.13880737129929893,-0.05713597175940666,11.327643209975315,0.060665983393263345,474
2023-07-31,,0.06171049221532786,0.004259860172344443,-0.48922728323090986,0.009635181644110369,474
2023-08-31,,-0.027588623888680334,0.002301329936438493,-0.8665537649335339,0.002901974983099187,474
2023-09-30,,-0.09976081536716754,0.005625165227028465,-0.1538786944423057,0.02651327556317573,474
2023-10-31,,0.09182505696689357,0.021273267580642734,0.3396138812195893,0.03042761663007909,474
2023-11-30,,0.0730067261987862,-0.019817911407187697,1.0405749379208855,0.021226580951389407,474
2023-12-31,,0.11606072912442152,0.1656220921145922,0.03013780332473749,0.25899531401791787,474
2024-01-31,,0.11333035097011963,0.08542669810211385,0.2853572353503115,0.13564770585096575,474
2024-02-29,,-0.08061503760095384,0.009351011169869963,0.5143268577041041,0.025513335892861977,474
2024-03-31,,-0.07341957066444918,-0.008103543520124929,-0.2602417753162922,0.01993704543549002,474
2024-04-30,,0.0455194599106821,-0.0009350962062509813,0.11188194783056359,0.005985516457183926,474
2024-05-31,,0.1013268004358099,0.013089373821377101,-0.1189822380677252,0.07294872493663518,474
2024-06-30,,0.030244564494230197,-0.049843309509044836,0.21923010655923866,0.03200201042223472,474
2024-07-31,,-0.048275054996428056,0.008853478281606849,0.21597019416730706,0.0069178295348371055,474
2024-08-31,,-0.014823401978146173,0.011876498374483752,0.19162543728538073,0.00392820865824306,474
2024-09-30,,0.1727817447755262,0.016372493591288118,-0.24695862830340343,0.0370643374625248,474
